"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EQCTI24T","journalArticle","1990","Frankenstein, Marilyn","Incorporating Race, Gender, and Class Issues into a Critical Mathematical Literacy Curriculum","Journal of Negro Education","","","","","","1990","2020-08-28 19:57:11","2020-08-28 20:02:23","","336-347","","3","59","","","","","","","","","","","","","","","","","","<p>Argument:  Critical math literacy is the ability to use data to better understand issues or change people's perceptions of issues.  Ethnomathematics understands mathematical logic as a function of identity.  When teaching math through an ethnomathematical lens, it is possible to see issues relating to race, class, and gender as systemic as opposed to personal.</p> <p>Context: This article presents ethnomathematics as a solution to sociopolitical issues as well as to disengagement.</p> <p>My Intervention:  This text presents ethnomathematics as a lens through which to teach critical mathematical literacy.</p>","C:\Users\Niki\Desktop\Zotero Files\Incorporating Race_ Gender_ and Class Issues into a Critical Mathematical Literacy Curriculum.jpg; C:\Users\Niki\Desktop\Zotero Files\Incorporating Race, Gender, and Class Issues into a Critical Mathematical Literacy Curriculum.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G548MLDW","journalArticle","1985","Kretovics, Joseph R.","Critical Literacy: Challenging the Assumptions of Mainstream Educational Theory","Education and Cultural Politics","","","","","The focus of traditional educational theory and practice has long been on the acquisition of functional literacy skills. The discourse that emerges from this perspective has been linked to the maintenance of the structural inequalities that characterize the wider society. Educators who are seriously interested in schooling for social transformation in the interest of democracy and justice need to move beyond this limited vision. To challenge the traditional discourse of schooling, educators need to develop a new language. This paper argues that such a challenge can be initiated around the notion of critical literacy. By focusing on what it means to be a critically literate, democratic citizen, a collective vision of what it might be like to live in the best of all societies can be created and strategies developed to act upon that vision.","1985","2020-08-28 02:31:52","2020-08-28 02:42:10","","50-62","","2","167","","","","","","","","","","","","","","","","","","<p>Argument: This text argues that the goal of mainstream education is to build functional literacy skills.  This seems like a fairly innocent goal to most; however, researchers in the 1960s-70s began to develop a sociology of education.  In doing so, there grew an idea that education is made to reflect the historical context that brought it about, and as such, it replicates the society and power structures that exist around it.  This problem is compounded in the research world by the fact that dominant ideas of knowledge center empirical research, and is therefore inherently exclusive to critical methods. </p> <p>Critical literacy is dialectical in that it situates knowledge as something that is constructed as opposed to something objective.  As a result, it becomes possible to subvert power structures behind existing knowledge forms through understanding how those structures came to be.  This occurs through ideological critique and subsequent transformative action.</p> <p>Context: This text praises critical literacy as a lens through which to transform schooling, and by extension, society.</p> <p>My Intervention: This text does a great job of outlining how the critical literacy movement emerged from mainstream education.  It emphasizes the work of Foucault, Bowles &amp; Gintis, Giroux, Held, etc. as they were involved in disciplines related to critical literacy.</p>","C:\Users\Niki\Desktop\Zotero Files\CRITICAL LITERACY_ CHALLENGING THE ASSUMPTIONS OF MAINSTREAM EDUCATIONAL THEORY.pdf; C:\Users\Niki\Desktop\Zotero Files\Critical Literacy Pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Critical Literacy Pg 1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V84B3A5P","journalArticle","2018","Boughton, Bob; Hearfield, Colin","Critical Literacy and Transforming Social Practice: An Ethical Grounding","Educational Theory","","","","","Colin Hearfield and Bob Boughton contend that, over roughly the past seventy-five years, a number of writers have attempted to underwrite the relationship between critical literacy and transformative social practice with an ethics of freedom and social justice. The first two such writers they address, Frantz Fanon and Paulo Freire, draw on a humanist ethics of social freedom, whereas the latter two, Amartya Sen and Jack Mezirow, turn respectively to Immanuel Kant’s moral theory of individual freedom and Jürgen Habermas’s ethics of communicative interaction. Hearfield and Boughton begin by discussing various shortcomings of the approach each of these writers takes, and then argue that a more adequate grounding can be found in Axel Honneth’s ethics of recognition, where the idea of social freedom again comes to prominence. Unlike the others, Honneth, a contemporary German philosopher and former research assistant of Habermas, does not address explicitly the issue of critical literacy, but he does speak of the right to education as an already significant aspect of the modern ethics of recognition.  The driving motivation for Hearfield and Boughton’s discussion in this article is the situation of many Indigenous Australians who remain unable to read or write Standard Australian English (SAE) and thus cannot participate, or have an effective voice, in deliberations concerning their own and their people’s situation in the political landscape of modern Australia.","2018","2020-08-22 22:39:41","2020-08-22 22:42:50","","477-494","","4-5","68","","","","","","","","","","","","","","","","","","<p>Argument: In this text, researchers argue that Fanon and Friere's theories of critical literacy are grounded in humanist ethics of social freedom, while Sen and Mezirow's theories are grounded in the idea of individual freedom and communicative interaction.</p> <p>Context: Friere, and to a lesser extent, Fanon, are the primary theorists in the movement for critical literacy.  Both were inspired by Marx and ideas of social freedom and humanism.</p> <p>My Intervention: Although this text is written for a purpose that does not regard American K-12 education, the discussion of critical literacy and social justice as theorized by Fanon, Friere, etc. remains relevant.  These theorists are inspiration for advocates of social justice education like bell hooks, Eric Gutstein, etc.</p>","C:\Users\Niki\Desktop\Zotero Files\Critical Literacy and Transforming Social Practice Pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Critical Literacy and Transforming Social Practice Pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\Critical Literacy and Transformative Social Practice_ An Ethical Grounding.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23XEN6YZ","journalArticle","2003","Semetsky, Inna","Where Logic Meets Psychology: Dewey's Philosophy of Mind and Piaget's Genetic Epistemology","Philosophy of Education Yearbook","","","","","","2003","2020-07-28 01:44:35","2020-07-28 01:45:55","","445-448","","","","","","","","","","","","","","","","","","","","","<p>Argument: This text argues that Dewey's philosophy of mathematics is constructivist in nature.  Like Piaget' Dewey understood cognition to be a mediating factor between logical reasoning and experience, and understood that abstract thought is built on manipulation of the concrete.</p> <p>Context: This article is in response to “Toward a Pragmatic/Contextual Philosophy of Mathematics: Recovering Dewey’s Psychology of Number” by Kurt Stemhagen.</p> <p>My Intervention: This text suggests that American education has foundations with constructivist ideals.</p>","C:\Users\Niki\Desktop\Zotero Files\Where Logic Meets Psychology.pdf; C:\Users\Niki\Desktop\Zotero Files\Where Logic Meets Psychology.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZV3MSHM","journalArticle","2012","Herman, William E.","The Ideas of Jean Piaget: Using Theory to Better Understand Theory and Improve Learning","Swiss American Historical Society Review","","","","","","2012","2020-07-27 01:05:05","2020-07-27 01:06:34","","18-31","","3","48","","","","","","","","","","","","","","","","","","<p>Argument: Outline of Piaget's work</p> <p>Context: Outline of Piaget's work</p> <p>My Intervention: While this article falls short of explaining how Piaget's theory is used to understand theory, it does provide a nice, concise outline of Piaget's work.</p>","C:\Users\Niki\Desktop\Zotero Files\The Ideas of Jean Piaget_ Using Theory to Better Understand Theory and Improve Learning.pdf; C:\Users\Niki\Desktop\Zotero Files\The Ideas of Jean Piaget Pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\The Ideas of Jean Piaget Pg 1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KKPJQ676","journalArticle","1997","DeVries, Rheta","Piaget's Social Theory","Educational Researcher","","","","","Current debate in education on the role of individual and social factors in development often presents Piaget as giving primacy to individual cognitive processes in contrast to Vygotsky's view of the primacy of social and cultural factors. It has even become popular to say that Piaget's child is a solitary scientist constructing knowledge apart from the sociaT context. This view is in error. To counter the often inaccurate assumptions, Piaget's social theory is summarized, including an account of his consideration of the relations between the individual and the social in sociomoral, affective, and intellectual development. His emphasis on the role of norms in development is discussed. Piaget's view of the identity of cognitive operations and social co-operations is explained with examples. Issues related to Piaget's social theory are raised. The co-operative context favoring operational development is discussed in terms of five general principles of teaching that apply to all levels of education.","1997","2020-07-26 04:03:12","2020-07-26 04:06:00","","4-17","","2","26","","","","","","","","","","","","","","","","","","<p>Argument: This text outlines Piaget's theory of social development and outlines the ways in which it is similar to his theory of cognitive development.  The two theories are synthesized to provide a model for constructivist teaching.</p> <p>Context: Traditionally, studies of Piaget's work emphasize his ideas on cognitive development and suggest that the child is an isolated thinker.  This text challenges that idea by emphasizing his work on social development.</p> <p>My Intervention: This text provides a lot of detailed information as to how social development and cognition are tied, which is essential when considering FOK and MFSJ. </p>","C:\Users\Niki\Desktop\Zotero Files\Piaget's Social Theory.pdf; C:\Users\Niki\Desktop\Zotero Files\Piagets Social Theory Pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\Piagets Social Theory Pg 4.jpg; C:\Users\Niki\Desktop\Zotero Files\Piagets Social Theory Pg 3.jpg; C:\Users\Niki\Desktop\Zotero Files\Piagets Social Theory Pg 2.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HB2VKVVC","journalArticle","2018","Eun, Barohny","The zone of proximal development as an overarching concept: A framework for synthesizing Vygotsky's theories","Educational Psychology and Theory","","","","","The zone of proximal development (ZPD) is defined as an overarching concept that integrates the main tenets of Vygotsky’s theory of human development. The conceptualization of the ZPD begins with its social, cultural, and historical context and traces its development as a spatial and temporal metaphor that reflects the sociogenetic root of all human mental functioning. Beyond the explication of sociogenesis, the ZPD is reconceptualized to include the notions of voice and dialogicality. The insights gained from the fields of semiotics and discourse studies allow a broader understanding of the ZPD by bringing to light participant structures and institutional and historical forces that may not have been included in the dominant interpretations of the ZPD.","2018","2020-07-20 16:50:15","2020-07-20 16:52:11","","18-30","","1","51","","","","","","","","","","","","","","","","","","<p>Argument: Eun details aspects of the zone of proximal development, which Vygotsky defines as the distance between the level of development a person can accomplish independently, and the level of development they can accomplish with some help.  Each function of development appears twice: first interpsychologically (between people) and intrapsychologically (within self).  Engestrom elaborates on this, stating that information is internalized when people appropriate verbal interactions and cultural tools, and subsequently externalized through production and creation of culture.</p> <p>There are a few instructional implications: the teacher is the leader and is responsible for targeting functions that are ready to develop in the learner.  Cognition is distributed across the setting, task, and participants.  Finally, transmission of knowledge is mediated by the institutional and historical setting.</p> <p>Context: This text synthesizes studies resulting from and elaborating on Vygotsky's theory of zones of proximal development.</p> <p>My Intervention: This text details one of the most influential aspects of Vygotsky's theory, and provides some insight as to how this relates to education.</p>","C:\Users\Niki\Desktop\Zotero Files\The zone of proximal development pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\The zone of proximal development pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\The zone of proximal development as an overarching concept_ A framework for synthesizing Vygotsky’s theories.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28SVJ5DK","journalArticle","2018","Bjorklund, David F.","A Metatheory for Cognitive Development (or ""Piaget is Dead"" Revisited)","Child Development","","","","","In 1997, I argued that with the loss of Piaget’s theory as an overarching guide, cognitive development had become disjointed and a new metatheory was needed to unify the field. I suggested developmental biology, particularly evolutionary theory, as a candidate. Here, I examine the increasing emphasis of biology in cognitive development research over the past 2 decades. I describe briefly the emergence of evolutionary developmental psychology and examine areas in which proximal and distal biological causation have been particularly influential. I argue that developmental biology will continue to increasingly influence research and theory in cognitive development and that evolutionary theory is well on its way to becoming a metatheory, not just for cognitive development, but for developmental psychology generally.","2018","2020-07-16 01:40:44","2020-07-16 01:42:38","","2288-2302","","6","89","","","","","","","","","","","","","","","","","","<p>Argument: In this text, Bjorklund explains that evolutionary theory can serve as a metatheory for contemporary developmental psychology, and outlines some of the ways in which it is already used, particularly in the areas of social cognition, the role of experience on later development, and the adaptive value of immature cognition.</p> <p>Context: This article comes after the discipline of developmental psychology has collectively debunked several of Piaget's ideas, and has begun to use developmental biology and evolutionary ideas to inform theory.</p> <p>My Intervention: This article serves as an introduction to the ideas of evolutionary developmental psychology, and contains several useful citations.</p>","C:\Users\Niki\Desktop\Zotero Files\A Metatheory for Cognitive Development Pg 3.jpg; C:\Users\Niki\Desktop\Zotero Files\A Metatheory for Cognitive Development Pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\A Metatheory for Cognitive Development Pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\A Metatheory for Cognitive Development (or “Piaget is Dead” Revisited).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EKGZ688K","journalArticle","1997","Bjorklund, David F.","In Search of a Metatheory for Cognitive Development (or, Piaget Is Dead and I Don't Feel So Good Myself)","Child Development","","","","","","1997","2020-07-14 03:42:25","2020-07-14 03:47:34","","144-148","","1","68","","","","","","","","","","","","","","","","","","<p>Argument: Bjorklund argues behaviourism in developmental psychology has been replaced by cognitivism as theorists searched for meaning and agency as having a role in development.  As a result, Piaget's theory became a metatheory, or a theory that outlines a background for the discipline.  However, the specifics of his work have been debunked, and there is no longer a unifying metatheory in developmental psychology.  Bjorkland argues that developmental biology could serve this purpose, as developmental psychology has roots in evolutionary theory and neural science.  This theory would account for individual variability and differences across cultures, which other theories have done with varying levels of success.</p> <p>Context: This text serves to propose a unifying theory for developmental psychologists to create and use a common language.  Bjorklund reccommends developmental biology because it addresses the questions that contemporary developmental psychologists study.</p> <p>My Intervention: This text clearly explains how developmental biology is a valuable alternative to Piagetian theories, and explains the state of the field in the current century.</p>","C:\Users\Niki\Desktop\Zotero Files\In Search of a Metatheory for Cognitive Development.pdf; C:\Users\Niki\Desktop\Zotero Files\In Search of a Metatheory for Cognitive Development.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VQZXSFQU","bookSection","2012","Sweller, John","Human Cognitive Architecture: Why Some Instructional Procedures Work and Others Do Not","APA Educational Psychology Handbook: Vol. 1. Theories, Constructs, and Critical Issues","","","","","","2012","2020-07-10 22:13:40","2020-07-12 21:14:43","","","","","1","3","","","","","","","","","","","","","","","","","<p>Argument: In his study of human cognitive architecture, Sweller takes an evolutionary perspective to understanding cognition, meaning he assumes that cognition has evolved in a similar manner to physical traits in the biological world.  According to this theory, there are two types of knowledge: biologically primary and biologically secondary knowledge.  The former includes knowledge we have evolved to acquire, and is therefore learned unconsciously through immersion in society, while the latter includes knowledge that must be consciously learned.</p> <p>According to the evolutionary theory, human cognition relies on natural information processing systems, which operate under 5 principles: information store, borrowing and reorganizing, randomness as genesis, narrow limits of change, and environmental organizing and linking.</p> <p>From these principles emerges cognitive load theory, which suggests that learning is more efficient when unnecessary working memory load is reduced in order to facilitate the transfer of relevant information to long term memory.  The theory differentiates between intrinsic and extraneous cognitive load effects.  Intrinsic load is inherent to the content being taught, while extraneous load is created through instructional choices and procedures.  Sweller outlines a variety of patterns in each type of load, as well as ways to limit each type of load.</p> <p>Context: Human cognitive architecture provides a foundation with which to understand how humans process information.  Without this background knowledge, it is very difficult to clearly determine what instructional practices will work.</p> <p>My Intervention: This theory is at odds with constructivism.  Constructivist theory suggests that information is gained through assimilation and accomodation, while the theory of human cognitive architecture suggests that these properties only apply to biologically primary knowledge.  This seems reasonable, as the information taught in schools is often different from that which could be understood through immersion in society.  However, this ignores the possibility that there is an inherent goal for assimilation in explicit instruction, and that implicit and explicit instruction can exist in one classroom.  For example, Vygotsky's study shows that children learn through participation in cultural activities.  This suggests that learning is largely a product of immersion in society.  However, he also theorizes zones of proximal development, which teachers can use in order to provide scaffolding in explicit instruction.  Vygotsky's theory suggests that explicit teaching can be used to capitalize on natural learning that occurs through immersion.</p>","C:\Users\Niki\Desktop\Zotero Files\Human Cognitive Architecture Pg 5.jpg; C:\Users\Niki\Desktop\Zotero Files\Human cognitive architecture_ Why some instructional procedures work and others do not_.pdf; C:\Users\Niki\Desktop\Zotero Files\Human Cognitive Architecture Pg 4.jpg; C:\Users\Niki\Desktop\Zotero Files\Human Cognitive Architecture Pg 3.jpg; C:\Users\Niki\Desktop\Zotero Files\Human Cognitive Architecture Pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Human Cognitive Architecture Pg 1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23A4GXPV","bookSection","2012","Carr, Martha","Critical Transitions: Arithmetic to Algebra","APA Educational Psychology Handbook: Vol. 3. Application to Learning and Teaching","","","","","","2012","2020-07-06 03:39:23","2020-07-06 03:40:25","","","","","3","3","","","","","","","","","","","","","","","","","<p>Argument: In this text, Carr addresses three major concepts in K-12 mathematics: whole numbers, rational numbers, and algebra.  Each of these requires students to think of numbers and symbols differently, although they all require students to shift their understanding of numbers from a concrete, perceptual one to an abstract, symbolic one.  This is often difficult because students are only asked to think about surface-level numerical concepts and procedures when solving problems and/or they have limitations in working memory.  Solutions to these limitations often require students to think about problem solving on a metacognitive level, explain their reasoning, or use multiple representations.</p> <p>Context:  This study comes out of an understanding that American students have low levels of mathematical literacy, and this is especially true of students learning algebra.  As such, it analyzes several theorized approaches to curriculum and how they bridge the gap between the three main concepts of number in K-12 mathematics.</p> <p>My Intervention: This article highlights several themes that have emerged in other literature on problem solving, especially those regarding metacognition and the tension between concrete and abstract representations.</p>","C:\Users\Niki\Desktop\Zotero Files\Critical Transitions Pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\Critical Transitions Pg 3.jpg; C:\Users\Niki\Desktop\Zotero Files\Critical Transitions Pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Critical transitions_ Arithmetic to algebra_.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFX98TPW","bookSection","2012","Goncu, Artin; Gauvain, Mary","Sociocultural Approaches to Educational Psychology: Theory, Research, and Application","APA Educational Psychology Handbook: Vol. 1. Theories, Constructs, and Critical Issues","","","","","","2012","2020-07-04 22:16:45","2020-07-04 22:18:44","","","","","1","3","","","","","","","","","","","","","","","","","<p>Argument: Sociocultural views of development are based on the idea that development occurs when people make meaning through a dynamic, mutually generated context, and are situated in a constructivist approach to development.  According to Vygotsky's work, participation in activities involving others allows children to act on their zones of proximal development, or levels of ability just beyond their independent ability.  When they work collaboratively, they develop attention, memory, and problem solving skills.  Sociocultural learning can be facilitated through play and a community of learners approach.</p> <p>Context:  This article details the development and implications of sociocultural views of development in the late 20th century.  There is a growing consensus that culture is not a discrete entity, but is rather didactically manipuated by those who belong to it for the purposes of development.</p> <p>My Intervention: Constructivist approaches seem to be most relevant to the philosophies of MFSJ and FOK, as they utilize the ideas that learning is collaborative and built through interaction with the world.</p>","C:\Users\Niki\Desktop\Zotero Files\Sociocultural approaches to educational psychology_ Theory, research, and application_.pdf; C:\Users\Niki\Desktop\Zotero Files\Sociocultural Approaches to Educational Psychology Pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Sociocultural Approaches to Educational Psychology Pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\Sociocultural Approaches to Educational Psychology Pg 3.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32YB58W4","bookSection","2012","Dimmitt, Carey; McCormick, Christine B.","Metacognition in Education","APA educational psychology handbook Vol. 1. Theories, constructs, and critical issues","","","","","","2012","2020-07-03 03:02:46","2020-07-03 03:04:19","","157-187","","","1","3","","","","","","","","","","","","","","","","","<p>Argument: This text provides a comprehensive breakdown of the development of metacognitive ability over time.  Metacognition includes a variety of processes, which have been delineated in several ways by various scientists and educators.  Additionally, it is highly correlated with self-regulation and executive functioning. </p> <p>In preschool, children develop an awareness of themselves and others, while in kindergarten, they are able to rudimentarily reflect on their own thinking.  From 4 to 11, they become increasingly able to reflect on their own memories.  Studies show that available knowledge bases, practice, task familiarity, and explicit learning goals help facilitate metacognitive growth at this age.</p> <p>In elementary school, students are able to use metacognitive strategies in familiar classroom activity situations, and they are able to provide causal explanations with increasing sophistication, although this depends on the type of instruction they receive.  Additionally, their reading comprehension improves with working memory and ability to monitor comprehension.</p> <p>In middle school, students have some procedural and conditional metacognitive knowledge, while in high school, they are also more likely to modify their beliefs based on new information and more likely to selectively use strategies.  However, their use of metacognitive strategies is often not consistent or continuous.  General metacognitive skills are essential for high school work in which new situations or problems often arise.</p> <p>Metacognitive strategies are often implemented in a very context-specific manner when they are first learned, and are generalized with time.  They must be explicitly taught through modeling, explanation, and feedback. </p> <p>Context: This article integrates the work of educational psychologists in defining and exploring metacognition and its role in school.  First, it breaks down the body of work on the topic by age range.  Then, implications for various people involved in education, such as teachers and students with learning disabilities, are outlined.</p> <p>My Intervention: This article makes it more clear that metacognition is not the defining line between the concrete and formal operational stages, as Piaget theorizes.  It seems as though the two main components of development relevant to learning are cognition and metacognition.  Given this, it becomes important to understand how different curricular interventions help students master content and metacognitive skills.</p>","C:\Users\Niki\Desktop\Zotero Files\Metacognition in education_.pdf; C:\Users\Niki\Desktop\Zotero Files\Metacognition in Education Pg 4.jpg; C:\Users\Niki\Desktop\Zotero Files\Metacognition in Education Pg 3.jpg; C:\Users\Niki\Desktop\Zotero Files\Metacognition in Education Pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\Metacognition in Education Pg 2.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KWWXZXTV","journalArticle","2008","Fox, Emily; Riconscente, Michelle","Metacognition and Self-Regulation in James, Piaget, and Vygotsky","Educational Psychology Review","","","","","This article investigates the intertwined constructs of metacognition and selfregulation as they emerge in the works and theories of James, Piaget, and Vygotsky. To coordinate this exploration, we use an interpretive framework based on the relation of subject and object. In this framework, James’s perspective on metacognition and selfregulation is aligned with the Self, Piaget’s with the other and object, and Vygotsky’s with the medium or agency of language. We explore how metacognition and self-regulation function within the realm of human behavior and development as described in the works of each of these theorists. Key questions or issues that emerge for current research are outlined, and the limitations and benefits of each theorist’s perspective vis-à-vis metacognition and self-regulation are discussed.","2008","2020-06-29 22:02:23","2020-06-30 02:26:51","","373-389","","","20","","","","","","","","","","","","","","","","","","<p>Argument: In this text, the authors explain how William James, Jean Piaget, and Lev Vygotsky conceptualize metacognition and self-regulation.  James sees metacognition as introspection, or looking inwardly to control actions and behaviours.  Piaget sees metacognitive thought as hypothetico-deductive reasoning, or the ability to represent a representation of a possible action.  He sees these thoughts as manifesting during the formal operational stage, and developing as a result of cooperation with peers on their own level.  Vygotky sees metacognition as the ability to internalize and abstract information through repeated social interaction, and then to apply that information to new situations.  </p> <p>Context: The ideas of metacognition and self-regulation are, as the authors state, important for educational psychology, but not necessarily well-researched.</p> <p>My Intervention:  Is it possible that all of these are different types of metacognition?  If so, what are the things that are necessary to facilitate these types of thought?</p> <p>James - introspection</p> <p>Piaget - interaction with peers and natural inquiry</p> <p>Vygotsky - repeated interaction with similar situations</p>","C:\Users\Niki\Desktop\Zotero Files\Metacognition and Self-Regulation in James_Piaget_andVygotsky pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\Metacognition and Self-Regulation in James_Piaget_andVygotsky pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Metacognition and Self-Regulation in James Piaget and Vygotsky.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ST7ZT7N","journalArticle","2014","Greiff, Samuel; Hautamaki, Jarkko; Stadler, Matthias; Wustenberg, Sascha","The Role of Strategy Knowledge for the Application of Strategies in Complex Problem Solving Tasks","Technology, Knowledge and Learning","","","","","Education in the twenty-first century must prepare students to meet the challenges of a dynamic and interconnected world. However, assessment of students’ skills tends to focus primarily on static tasks. Therefore, it is not known whether knowledge about successful strategies displayed on static tasks can be transferred to interactive and dynamic environments. This study investigated whether students’ knowledge of a certain strategy (i.e., vary-one-thing-at-a-time, VOTAT) that was assessed in a paper-and-pencilbased scientific reasoning task as well as their fluid intelligence and learning orientation would be sufficient to explain variance in the application of the VOTAT strategy in solving an interactive complex problem solving (CPS) task (i.e., CPS strategy). Furthermore, we analyzed whether CPS strategy mediated the relation between the predictors (i.e., scientific reasoning, learning orientation, fluid intelligence) and CPS performance. The sample consisted of N = 3,191 Finnish students attending the 6th and 9th grades. Results revealed that all predictors were significantly related to CPS strategy, but a substantial amount of variance in CPS strategy remained unexplained (DR2 = .583). Furthermore, CPS strategy mediated the relation between the predictors and CPS performance. Three implications are discussed: Different demands on the problem solver, knowledge transfer from static versus interactive tasks, or metastrategic knowledge may explain the unexplained variance in CPS strategy. Additionally, the results of our mediation analyses emphasize the importance of measuring strategies via logfiles to gain a deeper understanding of determinants of students’ CPS performance. Finally, fostering motivational factors such as students’ learning orientation yields small improvements in CPS performance.","2014","2020-06-23 05:10:11","2020-06-23 05:12:41","","127-146","","","19","","","","","","","","","","","","","","","","","","<p>Argument: Through an analysis of students' applications of varying one thing at a time to a static and dynamic task, the researchers determine that fluid intelligence, scientific reasoning and learning orientation influence performance on a complex problem solving task.  Additionally, knowledge of the complex problem solving strategy (varying one variable at a time) mediated the relationship between the independent variables and dependent variable.  Finally, some variance between performance on the static and dynamic task was unaccounted for, and could be explained by a lack of metastrategic knowledge, which would result in the strategy not being transferred between different types of tasks.</p> <p>Context: This study comes from an understanding that tasks in school are overwhelmingly static, and a desire to understand the degree to which students can transfer their strategic knowledge to more dynamic situations.</p> <p>My Intervention: This article provides a great degree of clarity to my understanding of the factors involved in students' abilities to solve complex problems independently.  However, it is still unclear as to how these factors develop, especially in relation to Piagetian stages.</p>","C:\Users\Niki\Desktop\Zotero Files\The Role of Strategy Knowledge for the Application of Strategies Pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\The Role of Strategy Knowledge for the Application of Strategies Pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\The Role of Strategy Knowledge for the Application of Strategies in Complex Problem Solving Tasks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PETIBIFT","videoRecording","1977","Garvin, Philip","Piaget on Piaget","","","","","https://www.youtube.com/watch?time_continue=2494&v=0XwjIruMI94&feature=emb_title","","1977","2020-06-22 00:51:02","2020-06-22 00:55:07","","","","","","","","","","","","","Yale University Media Design Studio","","","","","","","","","","<p>Argument: This documentary clarifies Piaget's work in developmental psychology.  Piaget states that he believes in constructivism, which suggests that people perpetually create knowledge through the structures of thought they are used to.  He shows several experiments, in which children of various ages are asked to complete tasks, in order to show the development of structures.</p> <p>Context: This documentary was created toward the end of Piaget's life, in order to clarify his understanding of developmental psychology, which, as he argues, is often misrepresented.</p> <p>My Intervention: Piaget's work seems to best show the sequence of structures that children use to think.  However, it seems that his work is often misinterpreted as describing the limitations of children in each age range.  However, according to post-Piagetian research, it seems as though limitations are due to lack of exposure to either a given discipline, situation, or set of linguistic skills.  Additionally, outside research suggests that new patterns of thought are also developed through experience.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
